"Ativo","Data","Fechamento|ajust p/ prov|Em moeda orig","Abertura|ajust p/ prov|Em moeda orig","Mínimo|ajust p/ prov|Em moeda orig","Máximo|ajust p/ prov|Em moeda orig","Médio|ajust p/ prov|Em moeda orig","Q Negs","Q Títs|ajust p/ prov|em milhares","Volume$|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 1 mês|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 3 meses|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 6 meses|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 1 ano|Em moeda orig|em milhares","P/L|Em moeda orig|de 12 meses|consolid:sim*","P/VPA|Em moeda orig|consolid:sim*","EV/EBIT emp|Em moeda orig|de 12 meses|consolid:sim*","Retorno|do fechamento|em 1 semana|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 1 mês|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 3 meses|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 6 meses|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 1 ano|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 2 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 3 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 4 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 5 anos|Em moeda orig|ajust p/ prov","Risco|base anual|1 sem|Em moeda orig","Risco|base anual|1 meses|Em moeda orig","Risco|base anual|3 meses|Em moeda orig","Risco|base anual|6 meses|Em moeda orig","Risco|base anual|1 anos|Em moeda orig","Risco|base anual|2 anos|Em moeda orig","Risco|base anual|3 anos|Em moeda orig","Risco|base anual|4 anos|Em moeda orig","Risco|base anual|5 anos|Em moeda orig","VAR %|base diária|confiança: 95%|1 sem|Em moeda orig","VAR %|base diária|confiança: 95%|1 meses|Em moeda orig","VAR %|base diária|confiança: 95%|3 meses|Em moeda orig","VAR %|base diária|confiança: 95%|6 meses|Em moeda orig","VAR %|base diária|confiança: 95%|1 anos|Em moeda orig","VAR %|base diária|confiança: 95%|2 anos|Em moeda orig","VAR %|base diária|confiança: 95%|3 anos|Em moeda orig","VAR %|base diária|confiança: 95%|4 anos|Em moeda orig","VAR %|base diária|confiança: 95%|5 anos|Em moeda orig","RentAt| de 12 meses| consolid:sim*","RenPat(fim)| de 12 meses| consolid:sim*","ROIC (IC fim) %| de 12 meses| consolid:sim*","LiqGer| consolid:sim*","AlaFin| de 12 meses| consolid:sim*","AlaOpe| de 12 meses| consolid:sim*","GiroAt| de 12 meses| consolid:sim*","Data do Bal| consolid:sim*","DtDvlg(DesApr)| consolid:sim*"
"DJIA<UsaNa>","1999-12-31",11497.12,"-",11442.82,11542.41,"-","-",43309.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",5.8709096355,12.375554243,15.762497258,15.100463854,16.13270427,18.060294747,18.258298483,16.897405821,15.610638143,0.60652537283,1.278522089,1.6284281517,1.5600332892,1.6666743451,1.865814275,1.8862700982,1.7456758836,1.6127395426,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-03",11357.51,"-",11305.69,11522.01,"-","-",169727.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",10.659213452,11.155222667,15.922840243,15.189116153,16.15347501,18.077776911,18.265008021,16.908963493,15.621526723,1.1012064254,1.1524492808,1.6449932319,1.5691919838,1.6688201763,1.8676203624,1.8869632626,1.7468699101,1.6138644449,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-04",10997.93,"-",10986.45,11350.06,"-","-",178322.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",20.327408905,15.347330694,17.067552642,15.771272652,16.475622344,18.204295468,18.348620019,16.984978207,15.687987756,2.1000304944,1.5855371739,1.7632538009,1.6293347402,1.7021013106,1.8806910311,1.8956012422,1.7547230122,1.6207305535,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-05",11122.65,"-",10938.67,11215.1,"-","-",203044.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",23.591034028,15.555871849,17.18865901,15.789864475,16.457900977,18.21961669,18.346657901,16.993090272,15.694499805,2.4371965501,1.6070816209,1.7757653348,1.6312554668,1.7002705111,1.8822738709,1.8953985352,1.7555610719,1.6214033152,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-06",11253.26,"-",11098.45,11313.45,"-","-",176001.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",26.31936208,15.978071769,16.9874774,15.87358341,16.314148972,18.222864298,18.356870759,16.993436963,15.701251733,2.7190609104,1.6506992167,1.7549812045,1.6399044942,1.6854194499,1.8826093823,1.8964536285,1.7555968887,1.6221008588,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-07",11522.56,"-",11239.92,11528.14,"-","-",184799.3,"-","-","-","-","-","-","-","-",0.22127280572,"-","-","-","-","-","-","-","-",31.645132282,17.339778123,17.532913394,16.204100068,16.476647193,18.295812523,18.403620707,17.024090858,15.728679693,3.2692677706,1.791377494,1.8113303548,1.6740502657,1.702207188,1.8901456845,1.9012833792,1.7587637514,1.6249344492,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-10",11572.2,"-",11532.48,11638.28,"-","-",168026.3,"-","-","-","-","-","-","-","-",1.8902910937,"-","-","-","-","-","-","-","-",29.975372213,17.908702928,17.445275745,16.237597719,16.448428416,18.172778508,18.400878782,16.998581242,15.735229599,3.0967643748,1.8501532803,1.802276484,1.6775109177,1.699291898,1.8774350049,1.9010001101,1.7561283456,1.6256111219,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-11",11511.08,"-",11502.7,11663.1,"-","-",177261.8,"-","-","-","-","-","-","-","-",4.6658780333,"-","-","-","-","-","-","-","-",15.25427217,17.630795659,17.491953297,16.193277204,16.456413349,18.160026276,18.392052816,16.999133341,15.73737594,1.5759232709,1.8214425999,1.8070987553,1.6729321525,1.7001168237,1.8761175681,1.900088297,1.7561853831,1.6258328611,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-12",11551.1,"-",11505.18,11612.53,"-","-",193910.6,"-","-","-","-","-","-","-","-",3.8520496464,"-","-","-","-","-","-","-","-",15.515286827,17.240990135,16.880987265,16.199357742,16.381954408,18.152329325,18.380572784,16.999429062,15.737608252,1.6028887705,1.7811716785,1.7439796779,1.6735603346,1.6924244491,1.8753223938,1.8989022916,1.7562159341,1.6258568612,"-","-","-","-","-","-","-","-","-"
"DJIA<UsaNa>","2000-01-13",11582.43,"-",11524.11,11656.58,"-","-",173521.6,"-","-","-","-","-","-","-","-",2.9251079242,"-","-","-","-","-","-","-","-",15.369332455,17.182990653,16.428618724,16.19867293,16.322664396,18.138391246,18.380908128,16.991267142,15.728829418,1.5878101822,1.7751797353,1.697245353,1.6734895865,1.6862991807,1.8738824468,1.8989369361,1.7553727239,1.6249499174,"-","-","-","-","-","-","-","-","-"
