"Ativo","Data","Fechamento|ajust p/ prov|Em moeda orig","Abertura|ajust p/ prov|Em moeda orig","Mínimo|ajust p/ prov|Em moeda orig","Máximo|ajust p/ prov|Em moeda orig","Médio|ajust p/ prov|Em moeda orig","Q Negs","Q Títs|ajust p/ prov|em milhares","Volume$|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 1 mês|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 3 meses|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 6 meses|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 1 ano|Em moeda orig|em milhares","P/L|Em moeda orig|de 12 meses|consolid:sim*","P/VPA|Em moeda orig|consolid:sim*","EV/EBIT emp|Em moeda orig|de 12 meses|consolid:sim*","Retorno|do fechamento|em 1 semana|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 1 mês|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 3 meses|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 6 meses|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 1 ano|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 2 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 3 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 4 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 5 anos|Em moeda orig|ajust p/ prov","Risco|base anual|1 sem|Em moeda orig","Risco|base anual|1 meses|Em moeda orig","Risco|base anual|3 meses|Em moeda orig","Risco|base anual|6 meses|Em moeda orig","Risco|base anual|1 anos|Em moeda orig","Risco|base anual|2 anos|Em moeda orig","Risco|base anual|3 anos|Em moeda orig","Risco|base anual|4 anos|Em moeda orig","Risco|base anual|5 anos|Em moeda orig","VAR %|base diária|confiança: 95%|1 sem|Em moeda orig","VAR %|base diária|confiança: 95%|1 meses|Em moeda orig","VAR %|base diária|confiança: 95%|3 meses|Em moeda orig","VAR %|base diária|confiança: 95%|6 meses|Em moeda orig","VAR %|base diária|confiança: 95%|1 anos|Em moeda orig","VAR %|base diária|confiança: 95%|2 anos|Em moeda orig","VAR %|base diária|confiança: 95%|3 anos|Em moeda orig","VAR %|base diária|confiança: 95%|4 anos|Em moeda orig","VAR %|base diária|confiança: 95%|5 anos|Em moeda orig","RentAt| de 12 meses| consolid:sim*","RenPat(fim)| de 12 meses| consolid:sim*","ROIC (IC fim) %| de 12 meses| consolid:sim*","LiqGer| consolid:sim*","AlaFin| de 12 meses| consolid:sim*","AlaOpe| de 12 meses| consolid:sim*","GiroAt| de 12 meses| consolid:sim*","Data do Bal| consolid:sim*","DtDvlg(DesApr)| consolid:sim*"
"EURUSD<UsaNa>","1999-12-31",1.01000001,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",5.904781721,9.1620488386,8.7478184131,10.102024931,9.4045423681,"-","-","-","-",0.61002470779,0.946533916,0.90373965091,1.043643118,0.97158599268,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-03",1.009000283,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",5.2823366342,9.4370049095,8.6424494037,10.099610294,9.3853913945,"-","-","-","-",0.5457197258,0.97493970723,0.89285394806,1.0433936613,0.96960750006,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-04",1.0304997,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",14.226347792,11.749715486,9.7134812667,10.501452946,9.6224369093,"-","-","-","-",1.469728106,1.213866506,1.0035025597,1.0849081418,0.99409674077,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-05",1.036800186,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",13.415838976,11.584686858,9.7882352105,10.492395582,9.6448633917,"-","-","-","-",1.3859942058,1.1968173507,1.0112254112,1.083972423,0.99641362715,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-06",1.038800227,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",12.242238984,10.258013073,9.7440598262,10.453262594,9.6406431344,"-","-","-","-",1.264749251,1.0597582982,1.0066616395,1.0799295827,0.99597763115,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-07",1.028400303,"-","-","-","-","-","-","-","-","-","-","-","-","-","-",1.8218111702,"-","-","-","-","-","-","-","-",16.328184384,10.721931412,9.9316010951,10.55351676,9.6462404789,"-","-","-","-",1.6868694522,1.107685836,1.0260365822,1.0902868695,0.99655589443,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-10",1.022899655,"-","-","-","-","-","-","-","-","-","-","-","-","-","-",1.3775389594,"-","-","-","-","-","-","-","-",17.16811615,11.158061956,9.9009736413,10.6051691,9.6556232044,"-","-","-","-",1.773643046,1.1527426086,1.0228724511,1.0956230878,0.99752522651,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-11",1.025600002,"-","-","-","-","-","-","-","-","-","-","-","-","-","-",-0.47546816368,"-","-","-","-","-","-","-","-",9.3251013638,10.907050855,9.9133001604,10.568663954,9.6315390183,"-","-","-","-",0.96337891955,1.1268105791,1.0241459074,1.0918517306,0.99503708228,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-12",1.030800313,"-","-","-","-","-","-","-","-","-","-","-","-","-","-",-0.5786913508,"-","-","-","-","-","-","-","-",8.9432413163,10.762414211,9.943987913,10.528530178,9.6388668263,"-","-","-","-",0.92392884757,1.1118681257,1.027316268,1.0877054985,0.99579412025,"-","-","-","-","-","-","-","-","-","-","-","-","-"
"EURUSD<UsaNa>","2000-01-13",1.027600317,"-","-","-","-","-","-","-","-","-","-","-","-","-","-",-1.0781582164,"-","-","-","-","-","-","-","-",8.6373778151,10.817914677,9.7145145356,10.510001146,9.4316937023,"-","-","-","-",0.89233000077,1.1176018949,1.003609307,1.0857912588,0.97439100487,"-","-","-","-","-","-","-","-","-","-","-","-","-"
