"Ativo","Data","Fechamento|ajust p/ prov|Em moeda orig","Abertura|ajust p/ prov|Em moeda orig","Mínimo|ajust p/ prov|Em moeda orig","Máximo|ajust p/ prov|Em moeda orig","Médio|ajust p/ prov|Em moeda orig","Q Negs","Q Títs|ajust p/ prov|em milhares","Volume$|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 1 mês|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 3 meses|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 6 meses|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 1 ano|Em moeda orig|em milhares","P/L|Em moeda orig|de 12 meses|consolid:sim*","P/VPA|Em moeda orig|consolid:sim*","EV/EBIT emp|Em moeda orig|de 12 meses|consolid:sim*","Retorno|do fechamento|em 1 semana|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 1 mês|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 3 meses|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 6 meses|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 1 ano|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 2 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 3 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 4 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 5 anos|Em moeda orig|ajust p/ prov","Risco|base anual|1 sem|Em moeda orig","Risco|base anual|1 meses|Em moeda orig","Risco|base anual|3 meses|Em moeda orig","Risco|base anual|6 meses|Em moeda orig","Risco|base anual|1 anos|Em moeda orig","Risco|base anual|2 anos|Em moeda orig","Risco|base anual|3 anos|Em moeda orig","Risco|base anual|4 anos|Em moeda orig","Risco|base anual|5 anos|Em moeda orig","VAR %|base diária|confiança: 95%|1 sem|Em moeda orig","VAR %|base diária|confiança: 95%|1 meses|Em moeda orig","VAR %|base diária|confiança: 95%|3 meses|Em moeda orig","VAR %|base diária|confiança: 95%|6 meses|Em moeda orig","VAR %|base diária|confiança: 95%|1 anos|Em moeda orig","VAR %|base diária|confiança: 95%|2 anos|Em moeda orig","VAR %|base diária|confiança: 95%|3 anos|Em moeda orig","VAR %|base diária|confiança: 95%|4 anos|Em moeda orig","VAR %|base diária|confiança: 95%|5 anos|Em moeda orig","RentAt| de 12 meses| consolid:sim*","RenPat(fim)| de 12 meses| consolid:sim*","ROIC (IC fim) %| de 12 meses| consolid:sim*","LiqGer| consolid:sim*","AlaFin| de 12 meses| consolid:sim*","AlaOpe| de 12 meses| consolid:sim*","GiroAt| de 12 meses| consolid:sim*","Data do Bal| consolid:sim*","DtDvlg(DesApr)| consolid:sim*"
"NASDAQ<UsaNa>","1999-12-31",4069.31,"-",4032.33,4082.37,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",11.18614628,18.563991121,21.919463045,23.964341424,27.292539623,26.968710309,24.460720424,22.529218603,21.012547442,1.1556440083,1.9178512931,2.2645060682,2.4757630451,2.8196001639,2.7861452638,2.5270441033,2.3275000914,2.1708123549,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-03",4131.15,"-",3989.71,4192.19,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",12.342345064,17.682497554,21.902739113,24.071985511,27.267408903,26.982355693,24.450795892,22.540002776,21.014023364,1.2750912391,1.8267839377,2.262778314,2.4868837869,2.8170039019,2.7875549724,2.5260187969,2.3286142074,2.1709648329,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-04",3901.69,"-",3898.23,4073.25,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",42.806035454,27.578052784,24.878889494,25.351257011,27.873026529,27.26034681,24.656081879,22.702859819,21.167406055,4.4223039061,2.8490966112,2.5702452708,2.6190456956,2.8795704341,2.8162743151,2.5472269517,2.3454390156,2.186810843,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-05",3877.54,"-",3734.87,3924.21,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",39.565595212,27.199529977,24.970494306,25.284425263,27.833080078,27.263035924,24.643861818,22.705790978,21.16999252,4.0875330872,2.8099913105,2.5797089905,2.6121412884,2.8754435547,2.8165521283,2.5459644937,2.3457418345,2.1870780515,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-06",3727.13,"-",3715.62,3868.76,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",43.351287668,30.71034868,26.23732514,25.933410661,27.984995907,27.403668668,24.752704079,22.783056907,21.245129046,4.47863407,3.1726950063,2.7105856504,2.6791881576,2.8911380229,2.8310809376,2.5572090191,2.3537241999,2.1948404277,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-07",3882.62,"-",3711.09,3882.67,"-","-","-","-","-","-","-","-","-","-","-",-4.5877556637,"-","-","-","-","-","-","-","-",55.98607011,33.249129126,27.242398427,26.501019335,28.262832544,27.530934323,24.857635298,22.860535297,21.312979018,5.7839370992,3.4349771487,2.8144200624,2.737827974,2.9198414062,2.8442287894,2.5680494937,2.3617285148,2.2018500279,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-10",4049.67,"-",3958.83,4072.36,"-","-","-","-","-","-","-","-","-","-","-",-1.9723321592,"-","-","-","-","-","-","-","-",64.168687491,37.349161672,28.247281264,27.163496159,28.548713486,27.591926574,25.000850783,22.908587644,21.4012193,6.629285668,3.8585526971,2.9182347991,2.8062686463,2.9493758491,2.8505299164,2.5828451269,2.3666928167,2.210966157,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-11",3921.19,"-",3904.82,4066.66,"-","-","-","-","-","-","-","-","-","-","-",0.49978342722,"-","-","-","-","-","-","-","-",55.575218969,38.604735757,29.161778652,27.487846411,28.710590558,27.667885757,25.058099647,22.947609643,21.452059544,5.741491949,3.988266419,3.0127117887,2.8397773646,2.9660994163,2.8583772816,2.5887595236,2.3707241907,2.2162184774,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-12",3850.02,"-",3834.53,3950.98,"-","-","-","-","-","-","-","-","-","-","-",-0.70972833291,"-","-","-","-","-","-","-","-",56.92352757,38.42852763,29.254478881,27.637406927,28.636885002,27.704524519,25.06728585,22.967469448,21.469799366,5.8807861006,3.9700623064,3.0222886762,2.8552285048,2.958484874,2.8621624427,2.5897085528,2.3727759129,2.2180511835,"-","-","-","-","-","-","-","-","-"
"NASDAQ<UsaNa>","2000-01-13",3957.21,"-",3858.22,3957.47,"-","-","-","-","-","-","-","-","-","-","-",6.173114434,"-","-","-","-","-","-","-","-",49.777243636,39.231122618,28.995931591,27.840648704,28.748121444,27.72647493,25.112723633,22.99390287,21.500573935,5.1425014401,4.0529786268,2.9955780809,2.8762254717,2.9699767429,2.864430146,2.5944027434,2.3755067574,2.2212305131,"-","-","-","-","-","-","-","-","-"
