"Ativo","Data","Fechamento|ajust p/ prov|Em moeda orig","Abertura|ajust p/ prov|Em moeda orig","Mínimo|ajust p/ prov|Em moeda orig","Máximo|ajust p/ prov|Em moeda orig","Médio|ajust p/ prov|Em moeda orig","Q Negs","Q Títs|ajust p/ prov|em milhares","Volume$|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 1 mês|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 3 meses|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 6 meses|Em moeda orig|em milhares","Media|nulos = 0|do volume$|em 1 ano|Em moeda orig|em milhares","P/L|Em moeda orig|de 12 meses|consolid:sim*","P/VPA|Em moeda orig|consolid:sim*","EV/EBIT emp|Em moeda orig|de 12 meses|consolid:sim*","Retorno|do fechamento|em 1 semana|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 1 mês|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 3 meses|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 6 meses|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 1 ano|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 2 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 3 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 4 anos|Em moeda orig|ajust p/ prov","Retorno|do fechamento|em 5 anos|Em moeda orig|ajust p/ prov","Risco|base anual|1 sem|Em moeda orig","Risco|base anual|1 meses|Em moeda orig","Risco|base anual|3 meses|Em moeda orig","Risco|base anual|6 meses|Em moeda orig","Risco|base anual|1 anos|Em moeda orig","Risco|base anual|2 anos|Em moeda orig","Risco|base anual|3 anos|Em moeda orig","Risco|base anual|4 anos|Em moeda orig","Risco|base anual|5 anos|Em moeda orig","VAR %|base diária|confiança: 95%|1 sem|Em moeda orig","VAR %|base diária|confiança: 95%|1 meses|Em moeda orig","VAR %|base diária|confiança: 95%|3 meses|Em moeda orig","VAR %|base diária|confiança: 95%|6 meses|Em moeda orig","VAR %|base diária|confiança: 95%|1 anos|Em moeda orig","VAR %|base diária|confiança: 95%|2 anos|Em moeda orig","VAR %|base diária|confiança: 95%|3 anos|Em moeda orig","VAR %|base diária|confiança: 95%|4 anos|Em moeda orig","VAR %|base diária|confiança: 95%|5 anos|Em moeda orig","RentAt| de 12 meses| consolid:sim*","RenPat(fim)| de 12 meses| consolid:sim*","ROIC (IC fim) %| de 12 meses| consolid:sim*","LiqGer| consolid:sim*","AlaFin| de 12 meses| consolid:sim*","AlaOpe| de 12 meses| consolid:sim*","GiroAt| de 12 meses| consolid:sim*","Data do Bal| consolid:sim*","DtDvlg(DesApr)| consolid:sim*"
"S&P 500<UsaNa>","1999-12-31",1469.26,"-",1463.36,1472.42,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2.9016400563,10.713909709,16.680877604,16.822728598,18.029163516,19.170078572,18.818440184,17.318204223,15.918361451,0.29976927363,1.1068571115,1.7233062909,1.7379609581,1.8625980985,1.9804663629,1.9441384993,1.7891486882,1.6445305265,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-03",1455.22,"-",1438.36,1478,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",7.7171996526,10.199950679,16.835762452,16.902161734,18.022882,19.182331672,18.820167446,17.331253357,15.925192161,0.79726612861,1.0537598554,1.7393074893,1.7461672184,1.8619491533,1.9817322343,1.9443169433,1.7904967981,1.6452362092,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-04",1399.42,"-",1397.43,1455.22,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",25.292509048,16.553697676,18.355670995,17.685886351,18.437767227,19.362101066,18.943716911,17.438464182,16.021215625,2.6129764266,1.7101672957,1.8963296806,1.8271340353,1.9048110661,2.0003042623,1.9570808743,1.8015727794,1.655156421,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-05",1402.11,"-",1377.68,1413.27,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",24.831392372,16.20360765,18.341627341,17.61901361,18.392413986,19.36205117,18.931308714,17.438104829,16.021089149,2.5653383294,1.6739993939,1.8948788266,1.8202253931,1.9001256096,2.0002991076,1.9557989798,1.8015356545,1.6551433547,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-06",1403.45,"-",1392.02,1411.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",24.88092997,16.078218569,18.014315803,17.616292687,18.265174358,19.344892485,18.931134536,17.429478985,16.021086817,2.570456073,1.6610454116,1.861064177,1.8199442937,1.8869804469,1.9985264389,1.9557809855,1.8006445161,1.6551431138,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-07",1441.47,"-",1400.53,1441.47,"-","-","-","-","-","-","-","-","-","-","-",-1.8914283381,"-","-","-","-","-","-","-","-",33.568601539,18.140406963,18.679049661,17.996371723,18.455016112,19.431964234,18.987444638,17.4698685,16.057245039,3.467981936,1.8740906912,1.9297380242,1.8592103688,1.9065930534,2.0075218465,1.9615983984,1.8048171686,1.6588786302,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-10",1457.6,"-",1441.47,1464.36,"-","-","-","-","-","-","-","-","-","-","-",0.16354915406,"-","-","-","-","-","-","-","-",34.286340564,19.171407858,18.614274701,18.10990814,18.481786017,19.333391261,19.00949977,17.451725547,16.070027462,3.5421317623,1.9806036919,1.9230461043,1.8709398489,1.90935866,1.9973382441,1.9638769205,1.8029428148,1.6601991859,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-11",1438.56,"-",1434.42,1458.85,"-","-","-","-","-","-","-","-","-","-","-",2.7968729903,"-","-","-","-","-","-","-","-",21.017626646,19.34501063,18.828256559,18.136139583,18.508272923,19.339614743,19.014075304,17.46306082,16.08216226,2.171337089,1.9985386445,1.9451526319,1.8736498269,1.9120950299,1.9979811938,1.9643496202,1.8041138651,1.6614528355,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-12",1432.25,"-",1427.32,1445.29,"-","-","-","-","-","-","-","-","-","-","-",2.1496173624,"-","-","-","-","-","-","-","-",21.938457483,18.977668946,18.523610995,18.142104439,18.408254057,19.326216371,19.003985022,17.464667937,16.083867446,2.2664683891,1.9605884689,1.9136796105,1.8742660579,1.9017620519,1.9965970041,1.9633071903,1.8042798969,1.6616289987,"-","-","-","-","-","-","-","-","-"
"S&P 500<UsaNa>","2000-01-13",1449.68,"-",1432.25,1454.6,"-","-","-","-","-","-","-","-","-","-","-",3.2940254374,"-","-","-","-","-","-","-","-",22.215928309,19.345971556,18.091497694,18.207905866,18.437786237,19.321312859,19.014985866,17.465053524,16.087267747,2.2951339804,1.9986379181,1.8690378604,1.8810640224,1.90481303,1.9960904209,1.9644436907,1.804319732,1.6619802848,"-","-","-","-","-","-","-","-","-"
