"Ativo","Nome","Classe","Tipo de Ativo","Código"
"OZ1D<XBMF>","Ouro","","Commodity","OZ1D"
"BDRX<XBSP>","Bdrx","","Ind Ações","BDRX"
"IDIV<XBSP>","I Dividendos","","Ind Ações","IDIV"
"INDM22<XBMF>","Ibov Fut Contin Jun","","Ind Ações","INDM22"
"IBOV<XBSP>","Ibovespa","","Ind Ações","IBOV"
"IBRA<XBSP>","Ibrasil","","Ind Ações","IBRA"
"IBXL<XBSP>","Ibrx 50","","Ind Ações","IBXL"
"IBXX<XBSP>","Ibrx Brasil","","Ind Ações","IBXX"
"ICO2<XBSP>","Ico2","","Ind Ações","ICO2"
"ICON<XBSP>","Iconsumo","","Ind Ações","ICON"
"IEEX<XBSP>","Ieeletrica","","Ind Ações","IEEX"
"IFNC<XBSP>","Ifinanceiro","","Ind Ações","IFNC"
"IGNM<XBSP>","Igc - Nm","","Ind Ações","IGNM"
"IGCT<XBSP>","Igc Trade","","Ind Ações","IGCT"
"IGCX<XBSP>","Igovernanca","","Ind Ações","IGCX"
"IMAT<XBSP>","Imat Basicos","","Ind Ações","IMAT"
"IMOB<XBSP>","Imobiliario","","Ind Ações","IMOB"
"IFIX<XBSP>","Ind Fdo Imob","","Ind Ações","IFIX"
"INDX<XBSP>","Industrial","","Ind Ações","INDX"
"ISEE<XBSP>","Isustentabil","","Ind Ações","ISEE"
"ITAG<XBSP>","Itag Along","","Ind Ações","ITAG"
"IVBX<XBSP>","Ivbx2","","Ind Ações","IVBX"
"MLCX<XBSP>","Midlarge Cap","","Ind Ações","MLCX"
"SMLL<XBSP>","Small Cap","","Ind Ações","SMLL"
"UTIL<XBSP>","Utilities","","Ind Ações","UTIL"
"IGPDI<BraNa>","IGPDI Fgv","Acumul","Ind Preço","IGPDI"
"IGPDI - Taxa mes<BraNa>","IGPDI Fgv","Tx mes","Ind Preço","IGPDI - Taxa mes"
"IGPM<BraNa>","IGPM Fgv","Acumul","Ind Preço","IGPM"
"IGPM - Taxa mes<BraNa>","IGPM Fgv","Tx mes","Ind Preço","IGPM - Taxa mes"
"INCC-DI<BraNa>","INCC-DI Fgv","Acumul","Ind Preço","INCC-DI"
"INCC DI - Tx mes<BraNa>","INCC-DI Fgv","Tx mes","Ind Preço","INCC DI - Tx mes"
"INPC<BraNa>","INPC Ibge","Acumul","Ind Preço","INPC"
"INPC Taxa mes<BraNa>","INPC Ibge","Tx mes","Ind Preço","INPC Taxa mes"
"IPC<BraNa>","IPC Fipe","Acumul","Ind Preço","IPC"
"IPC Fipe Tax mes<BraNa>","IPC Fipe","Tx mes","Ind Preço","IPC Fipe Tax mes"
"IPCA<BraNa>","IPCA Ibge","Acumul","Ind Preço","IPCA"
"IPCA - Taxa mes<BraNa>","IPCA Ibge","Tx mes","Ind Preço","IPCA - Taxa mes"
"CDI 252 dias<BraNa>","CDI","252d","Índice de renda fixa","CDI 252 dias"
"CDI Acumulado<BraNa>","CDI","Acumul","Índice de renda fixa","CDI Acumulado"
"CDI Efetiva Mes<BraNa>","CDI","Tx mes","Índice de renda fixa","CDI Efetiva Mes"
"IDA DI<BraANB>","Ida DI","DI","Índice de renda fixa","IDA DI"
"IDA Geral<BraANB>","Ida Geral","Geral","Índice de renda fixa","IDA Geral"
"IDA IPCA<BraANB>","Ida IPCA","IPCA","Índice de renda fixa","IDA IPCA"
"IDKA IPCA 10A<BraANB>","Idka IPCA","10A","Índice de renda fixa","IDKA IPCA 10A"
"IDKA IPCA 15A<BraANB>","Idka IPCA","15A","Índice de renda fixa","IDKA IPCA 15A"
"IDKA IPCA 20A<BraANB>","Idka IPCA","20A","Índice de renda fixa","IDKA IPCA 20A"
"IDKA IPCA 2A<BraANB>","Idka IPCA","2A","Índice de renda fixa","IDKA IPCA 2A"
"IDKA IPCA 30A<BraANB>","Idka IPCA","30A","Índice de renda fixa","IDKA IPCA 30A"
