Data;date;Dia da Semana;Feriado
01/01/2001;2001-1-1;segunda-feira;Confraternização Universal
26/02/2001;2001-2-26;segunda-feira;Carnaval
27/02/2001;2001-2-27;terça-feira;Carnaval
13/04/2001;2001-4-13;sexta-feira;Paixão de Cristo
21/04/2001;2001-4-21;sábado;Tiradentes
01/05/2001;2001-5-1;terça-feira;Dia do Trabalho
14/06/2001;2001-6-14;quinta-feira;Corpus Christi
07/09/2001;2001-9-7;sexta-feira;Independência do Brasil
12/10/2001;2001-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2001;2001-11-2;sexta-feira;Finados
15/11/2001;2001-11-15;quinta-feira;Proclamação da República
25/12/2001;2001-12-25;terça-feira;Natal
01/01/2002;2002-1-1;terça-feira;Confraternização Universal
11/02/2002;2002-2-11;segunda-feira;Carnaval
12/02/2002;2002-2-12;terça-feira;Carnaval
29/03/2002;2002-3-29;sexta-feira;Paixão de Cristo
21/04/2002;2002-4-21;domingo;Tiradentes
01/05/2002;2002-5-1;quarta-feira;Dia do Trabalho
30/05/2002;2002-5-30;quinta-feira;Corpus Christi
07/09/2002;2002-9-7;sábado;Independência do Brasil
12/10/2002;2002-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2002;2002-11-2;sábado;Finados
15/11/2002;2002-11-15;sexta-feira;Proclamação da República
25/12/2002;2002-12-25;quarta-feira;Natal
01/01/2003;2003-1-1;quarta-feira;Confraternização Universal
03/03/2003;2003-3-3;segunda-feira;Carnaval
04/03/2003;2003-3-4;terça-feira;Carnaval
18/04/2003;2003-4-18;sexta-feira;Paixão de Cristo
21/04/2003;2003-4-21;segunda-feira;Tiradentes
01/05/2003;2003-5-1;quinta-feira;Dia do Trabalho
19/06/2003;2003-6-19;quinta-feira;Corpus Christi
07/09/2003;2003-9-7;domingo;Independência do Brasil
12/10/2003;2003-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2003;2003-11-2;domingo;Finados
15/11/2003;2003-11-15;sábado;Proclamação da República
25/12/2003;2003-12-25;quinta-feira;Natal
01/01/2004;2004-1-1;quinta-feira;Confraternização Universal
23/02/2004;2004-2-23;segunda-feira;Carnaval
24/02/2004;2004-2-24;terça-feira;Carnaval
09/04/2004;2004-4-9;sexta-feira;Paixão de Cristo
21/04/2004;2004-4-21;quarta-feira;Tiradentes
01/05/2004;2004-5-1;sábado;Dia do Trabalho
10/06/2004;2004-6-10;quinta-feira;Corpus Christi
07/09/2004;2004-9-7;terça-feira;Independência do Brasil
12/10/2004;2004-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2004;2004-11-2;terça-feira;Finados
15/11/2004;2004-11-15;segunda-feira;Proclamação da República
25/12/2004;2004-12-25;sábado;Natal
01/01/2005;2005-1-1;sábado;Confraternização Universal
07/02/2005;2005-2-7;segunda-feira;Carnaval
08/02/2005;2005-2-8;terça-feira;Carnaval
25/03/2005;2005-3-25;sexta-feira;Paixão de Cristo
21/04/2005;2005-4-21;quinta-feira;Tiradentes
01/05/2005;2005-5-1;domingo;Dia do Trabalho
26/05/2005;2005-5-26;quinta-feira;Corpus Christi
07/09/2005;2005-9-7;quarta-feira;Independência do Brasil
12/10/2005;2005-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2005;2005-11-2;quarta-feira;Finados
15/11/2005;2005-11-15;terça-feira;Proclamação da República
25/12/2005;2005-12-25;domingo;Natal
01/01/2006;2006-1-1;domingo;Confraternização Universal
27/02/2006;2006-2-27;segunda-feira;Carnaval
28/02/2006;2006-2-28;terça-feira;Carnaval
14/04/2006;2006-4-14;sexta-feira;Paixão de Cristo
