Data,BDRX,CDI 252 dias,CDI Acumulado,CDI Efetiva Mes,DJIA,DOLM22,DOLOF,EUROBR,EURUSD,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDA DI,IDA Geral,IDA IPCA,IDIV,IDKA IPCA 10A,IDKA IPCA 15A,IDKA IPCA 20A,IDKA IPCA 2A,IDKA IPCA 30A,IDKA IPCA 3A,IDKA IPCA 5A,IDKA PRE 1A,IDKA PRE 2A,IDKA PRE 3A,IDKA PRE 3M,IDKA PRE 5A,IEEX,IFIX,IFNC,IGCT,IGCX,IGNM,IGPDI - Taxa mes,IGPDI,IGPM - Taxa mes,IGPM,IHFA,IMA ex-C,IMA-B 5+,IMA-B 5,IMA-B,IMA-G,IMA-S,IMAT,IMOB,INCC DI - Tx mes,INCC-DI,INDM22,INDX,INPC Taxa mes,INPC,IPC Fipe Tax mes,IPC,IPCA - Taxa mes,IPCA,IRF-M 1+,IRF-M 1,IRF-M,ISEE,ITAG,IVBX,LFT 252 dias,LFT Acumulado,LFT Efetiva Mes,MLCX,NASDAQ,OTNBTN,OZ1D,Poup Taxa Mes,Poup Tx Mes Nova,PoupAcum,S&P 500,SMLL,TBF,TR taxa mensal,UTIL,WTICO
1999-12-31,,18.829999924,526.44653,1.582496047,11497.12,,1.789,1.80689,1.01000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.040000916,509.407776,1.5995845795,,4069.31,218.80319214,,0.80129998922,,304.63421631,1469.26,,1.3874,0.21490000188,,
2000-01-03,,18.780000687,526.80619,1.582496047,11357.51,11752.989426,1.8011,1.85047,1.009000283,16930.0,,1585.6800537,3210.0,,,,,,,,,,,,,,,,,,,3601.0,,,,,,,,,,,,,,,,,,,,,156436.39255,1004.39,,,,,,,,,,,,990.0,19.040000916,509.7602149,1.5995845795,,4131.15,218.82940674,17.0,0.73790001869,,304.63421631,1455.22,,1.4994,0.27599999309,,
2000-01-04,,18.75,527.16556,1.582496047,10997.93,11976.916824,1.8337,1.8915,1.0304997,15851.0,,1497.6400146,3030.0,,,,,,,,,,,,,,,,,,,3450.0,,,,,,,,,,,,,,,,,,,,,145971.52238,972.56,,,,,,,,,,,,952.0,19.040000916,510.1128976,1.5995845795,,3901.69,218.85745239,17.1,0.73379999399,,304.63421631,1399.42,,1.5287,0.29510000348,,
2000-01-05,,18.739999771,527.52501,1.582496047,11122.65,11848.958311,1.8544,1.91582,1.036800186,16245.0,,1524.6400146,3084.0,,,,,,,,,,,,,,,,,,,3533.0,,,,,,,,,,,,,,,,,,,,,149638.69911,975.73,,,,,,,,,,,,971.0,19.049999237,510.4659978,1.5995845795,,3877.54,218.88566589,16.9,0.77120000124,,304.63421631,1402.11,,1.5406,0.29690000415,,
2000-01-06,,18.75,527.88487,1.582496047,11253.26,11861.754162,1.8461,1.90761,1.038800227,16106.0,,1515.5300293,3065.0,,,,,,,,,,,,,,,,,,,3520.0,,,,,,,,,,,,,,,,,,,,,147313.1724,975.54,,,,,,,,,,,,975.0,19.069999695,510.8196792,1.5995845795,,3727.13,218.91065979,16.9,0.8043000102,,304.63421631,1403.45,,1.4445,0.25150001049,,
2000-01-07,,18.75,528.24499,1.582496047,11522.56,11746.5915,1.8281,1.88241,1.028400303,16309.0,,1535.2600098,3101.0,,,,,,,,,,,,,,,,,,,3572.0,,,,,,,,,,,,,,,,,,,,,149728.14244,988.68,,,,,,,,,,,,989.0,19.069999695,511.1736057,1.5995845795,,3882.62,218.93492126,16.85,0.79699999094,,304.63421631,1441.47,,1.4058,0.23309999704,,
2000-01-10,,18.75,528.60534,1.582496047,11572.2,11673.015355,1.8161,1.86588,1.022899655,17022.0,,1598.1600342,3224.0,,,,,,,,,,,,,,,,,,,3646.0,,,,,,,,,,,,,,,,,,,,,156168.06255,1015.12,,,,,,,,,,,,1022.0,19.020000458,511.5269289,1.5995845795,,4049.67,218.96315002,16.69,0.73610001802,,304.63421631,1457.6,,1.5306,0.29690000415,,
2000-01-11,,18.770000458,528.96630859,1.582496047,11511.08,11724.19876,1.8219,1.88333,1.025600002,16572.0,,1559.3599854,3154.0,,,,,,,,,,,,,,,,,,,3576.0,,,,,,,,,,,,,,,,,,,,,151159.2358,997.5,,,,,,,,,,,,1005.0,18.979999542,511.8798109,1.5995845795,,3921.19,218.99002075,16.81,0.72850000858,,304.63421631,1438.56,,1.5161,0.2825999856,,
2000-01-12,,18.739999771,529.32697,1.582496047,11551.1,11759.387351,1.8314,1.89096,1.030800313,16616.0,,1563.2099609,3161.0,,,,,,,,,,,,,,,,,,,3560.0,,,,,,,,,,,,,,,,,,,,,150980.34913,992.63,,,,,,,,,,,,1001.0,18.930000305,512.2320815,1.5995845795,,3850.02,219.01647949,16.86,0.76590001583,,304.63421631,1432.25,,1.5117,0.27829998732,,
2000-01-13,,18.739999771,529.68789,1.582496047,11582.43,11660.219504,1.8193,1.86899,1.027600317,17298.0,,1617.9499512,3250.0,,,,,,,,,,,,,,,,,,,3550.0,,,,,,,,,,,,,,,,,,,,,157509.71257,968.18,,,,,,,,,,,,997.0,18.920000076,512.5844254,1.5995845795,,3957.21,219.04283142,16.83,0.79409998655,,304.63421631,1449.68,,1.4683,0.26510000229,,
